id,name__en,name,name__be,name__ru,name__pl,image,gender,birth_date,identifier__freebase,given_name,identifier__IIAF,family_name,wikipedia__en,wikipedia__be,wikipedia__ru,wikipedia__pl,name__pt,name__fr,name__fi,name__uk,name__it,name__be_tarask,name__et,name__de,name__ja,name__sv,name__nl,name__es,name__nb,wikipedia__be_x_old,wikipedia__de,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,wikipedia__uk,wikipedia__plwikiquote,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__nn,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,original_wikiname,last_seen,name__ar,wikipedia__ar,name__kana,name__ko,wikipedia__ko,occupation
Q10444907,Yauhien Abalenski,Yauhien Abalenski,Яўген Абаленскі,"Оболенский, Евгений Вячеславович",Jauhienij Abalenski,,male,1973-03-30,,Jauhienij,,Abalenski,,Яўген Вячаслававіч Абаленскі,,Jauhienij Abalenski,,Yauhien Abalenski,,Оболенський Євген В’ячеславович,,Яўген Абаленскі,,,,,Yauhien Abalenski,Yauhien Abalenski,,,,,,,,,,,,,Оболенський Євген В’ячеславович,Jauhienij Abalenski,,,,,,,,,,,,,,,,,,,,Yauhien Abalenski,,,,,,,,,,,,,,,,,,,,,,,,,Jauhienij Abalenski,,,,,,,electrician
Q11712387,,Inesa Klaszczuk,Інеса Анатольеўна Кляшчук,,Inesa Klaszczuk,,female,1978-08-26,,Inesa,,,,Інеса Анатольеўна Кляшчук,,Inesa Klaszczuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inesa Klaszczuk,,,,,,,
Q11753400,Leanid Apanasyuk,Leanid Apanasyuk,Леанід Апанасюк,"Апанасюк, Леонид Николаевич",Leanid Apanasiuk,,male,1956-01-08,,Leanid,,,,Леанід Мікалаевіч Апанасюк,,Leanid Apanasiuk,,Leanid Apanasyuk,,,,Леанід Апанасюк,,,,,Leanid Apanasyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leanid Apanasiuk,,,,,,,politician
Q11780622,,Mikałaj Samasiejka,Мікалай Леанідавіч Самасейка,,Mikałaj Samasiejka,,male,1959-10-03,,Mikalay,,,,Мікалай Леанідавіч Самасейка,,Mikałaj Samasiejka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikałaj Samasiejka,,,,,,,
Q14393799,,Alena Bierasniewa,Алена Пятроўна Бераснева,"Береснева, Елена Петровна",Alena Bierasniewa,,female,1962-06-04,,Alena,,,,Алена Пятроўна Бераснева,"Береснева, Елена Петровна",Alena Bierasniewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alena Bierasniewa,,,,,,,journalist
Q14394031,Uladzimir Bazanau,Uladzimir Bazanau,Уладзімір Аляксандравіч Базанаў,,Uładzimir Bazanau,,male,1957-11-29,,Uladzimir,,,,Уладзімір Аляксандравіч Базанаў,,Uładzimir Bazanau,,Uladzimir Bazanau,,,,,,Uladzimir Bazanau,,,,Uladzimir Bazanau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uładzimir Bazanau,,,,,,,
Q14421992,Aleksandr Myakinnik,Aleksandr Myakinnik,Аляксандр Пятровіч Мякіннік,,Alaksandr Miakinnik,,male,1968-07-17,,Alyaksandr,,,,Аляксандр Пятровіч Мякіннік,,Alaksandr Miakinnik,,Aleksandr Myakinnik,,,Alaksandr Miakinnik,,,,,,,,,,,,,,,,,,,,,Alaksandr Miakinnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaksandr Miakinnik,,,,,,,
Q14422105,,Mikałaj Rasocha,Мікалай Фёдаравіч Рассоха,,Mikałaj Rasocha,,male,1958-08-03,,Mikalay,,,,Мікалай Фёдаравіч Рассоха,,Mikałaj Rasocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikałaj Rasocha,,,,,,,
Q14866893,Alyaksandr Yarashevich,Alyaksandr Yarashevich,Аляксандр Ярашэвіч,Александр Ярошевич,Alaksandr Jaraszewicz,,male,1963-06-07,,Alyaksandr,,,,Аляксандр Мікалаевіч Ярашэвіч,,Alaksandr Jaraszewicz,,,,,,Аляксандар Ярашэвіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaksandr Jaraszewicz,,,,,,,
Q14917844,Adam Bashkou,Adam Bashkou,Адам Башкоў,"Башков, Адам Семенович",Adam Baszkou,,male,1951-05-26,,Adam,,,,Адам Сямёнавіч Вашкоў,,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,,Adam Baszkou,Адам Башкоў,Adam Baszkou,Adam Baszkou,,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,,,,,,,,,,,,,,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,Adam Baszkou,,,,,,,business magnate
