id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
f68b56e8-b55d-4eee-9cd2-4b19d18145ee,Dr. Maria Agard,Dr. Maria Agard,magard@barbadosparliament.com,,,Barbados Labour Party,BLP,area/christ_church_west,Christ Church West,2013,,https://www.barbadosparliament.com/uploads/member/382065ebb5fcbc012469910df84cde91.jpg,female,,Q740420,
519e3ece-4a19-444f-a190-1c2224149363,Dr. the Hon. David C. Estwick,Dr. the Hon. David C. Estwick,destwick@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_philip_west,St Philip West,2013,,https://www.barbadosparliament.com/uploads/member/16fc0e6af6cd22c86b02608d027b23a9.jpg,male,,Q956182,
ce5d291b-0c30-4d72-b761-6f83be375f2d,Dr. the Hon. Denis S. Lowe,Dr. the Hon. Denis S. Lowe,dlowe@barbadosparliament.com,,,Democratic Labour Party,DLP,area/christ_church_east,Christ Church East,2013,,https://www.barbadosparliament.com/uploads/member/2139a841b8363c180384b17eeac3ba68.jpg,male,,Q956182,
afd49f3c-2866-49ba-89eb-236259582168,Her Honour Mrs. M-J. Mara Thompson,Her Honour Mrs. M-J. Mara Thompson,mthompson@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_john,St John,2013,,https://www.barbadosparliament.com/uploads/member/697b33277d48949d9675a8a168c39511.jpg,female,,Q956182,
2d32da4b-212d-4c0b-95a8-122c54e3148b,His Honour Michael A. Carrington,His Honour Michael A. Carrington,mcarrington@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_michael_west,St Michael West,2013,,https://www.barbadosparliament.com/uploads/member/64f8a5a5d4fc06ad970c7226dc35ab7b.jpg,male,,Q956182,
33ccb19b-5591-4a2d-ac86-95a6bc9ea82b,"Hon. Adriel D. Brathwaite, Q.C.","Hon. Adriel D. Brathwaite, Q.C.",abrathwaite@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_philip_south,St Philip South,2013,,https://www.barbadosparliament.com/uploads/member/c0743dc3b90d7f3bda34c8ac6d80cc96.jpg,male,,Q956182,
4a5f2fa8-25b5-44f1-a8f6-a8d08634b926,Hon. Christopher P. Sinckler,Hon. Christopher P. Sinckler,csinckler@hotmail.com,,,Democratic Labour Party,DLP,area/st_michael_north_west,St Michael North West,2013,,https://www.barbadosparliament.com/uploads/member/d0fda6872788703c11340ae352079e3a.jpg,male,,Q956182,
ced785da-6a10-4eeb-9439-0c2fad40c2f5,Hon. Denis St.E. Kellman,Hon. Denis St.E. Kellman,dkellman@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_lucy,St Lucy,2013,,https://www.barbadosparliament.com/uploads/member/3f3f031dd7a2ed373d1fbba4ec8cfc73.jpg,male,,Q956182,
9b64dc91-0ea4-48f3-b2e6-656d405864ba,Hon. Donville O'N. Inniss,Hon. Donville O'N. Inniss,dinniss@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_james_south,St James South,2013,,https://www.barbadosparliament.com/uploads/member/ee9eabd1d1226d4492ce8b10681b4d4d.jpg,male,,Q956182,
9bf3deb8-2017-46c2-a101-ca10b0c94606,"Hon. Freundel J. Stuart, Q.C.","Hon. Freundel J. Stuart, Q.C.",fstuart@barbadosparliament.com,,,Democratic Labour Party,DLP,area/st_michael_south,St Michael South,2013,,https://www.barbadosparliament.com/uploads/member/18090740399e64d3db9a331a1563cbf7.jpg,male,,Q956182,
