id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
bc584d7f-86a1-4c2d-97b4-081971d8a1fa,Aadu Must,Aadu Must,aadu.must@riigikogu.ee,,100000744087901,Estonian Centre Party,f6b76a72-7b02-433b-8ced-4f9b8d3f980c,45a35b1d-9b7c-4a18-9364-3ba1000c1e50,Electoral District 10 (Tartu),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/68d27c93-66c5-4255-9af3-457a8b5ce77c.jpg,male,Q12358062,Q928652,Q3032626
d1fd1506-2e2b-4d0b-9cf2-875a9416b16a,Ain Lutsepp,Ain Lutsepp,ain.lutsepp@riigikogu.ee,,,Estonian Free Party,25f260dd-9766-4b70-9e77-8db32a92a801,05773892-0b18-47b9-830b-a7fa13737ea2,Electoral District 3 (Mustamäe and Nõmme),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/3aca6c5a-6cdc-4a36-a39c-b39277b31175.jpg,male,Q12358429,Q19276353,Q2420663
25912f45-37b5-49fe-8d34-e4ba3d0a0061,Aivar Kokk,Aivar Kokk,aivar.kokk@riigikogu.ee,,aivar.kokk,Pro Patria,c52ce7c4-e725-407e-81c4-d903f6b61b93,06c87347-f5f9-4559-ac81-712851aa9f55,Electoral District 9 (Jõgeva- and Tartumaa),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/5489f095-34b5-42b6-a2f4-f0c7b89315df.jpg,male,Q13608089,Q163347,Q3338787
094c0c8c-f0c0-42dd-8361-dc8226e7d3dd,Aivar Surva,Aivar Surva,aivar.surva@riigikogu.ee,,aivar.surva,unknown,unknown,81c61fb7-76be-4cac-aa0b-332d85f2dc0e,Electoral District 7 (Ida-Virumaa),13,2018-08-01,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/929d0b68-21fd-401d-b84c-80c9ae72cb92.jpg,male,Q55984168,,Q3479058
480df40f-359a-4238-b179-332d47dd1611,Aivar Sõerd,Aivar Sõerd,aivar.soerd@riigikogu.ee,,aivar.soerd,Estonian Reform Party,809ffcc5-c6cf-40f2-a985-2e859e3a0396,07217ad6-6d05-41c2-86cb-b14f0c778ff4,Electoral District 4 (Harju- and Raplamaa),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/78d2bb0c-ab46-4996-8991-9fbc1265bd95.jpg,male,Q12358481,Q738947,Q3413626
778bc451-73d2-40be-bc52-174b8c852907,Andres Herkel,Andres Herkel,andres.herkel@riigikogu.ee,andresherkel,100000379332463,Estonian Free Party,25f260dd-9766-4b70-9e77-8db32a92a801,b2aa7cf7-1495-473d-99fa-571824dfdd47,"Electoral District 2 (Kesklinn, Lasnamäe and Pirita)",13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/f2589830-2f44-48c3-ada2-813334e00eee.jpg,male,Q4756115,Q19276353,Q3025278
0f5c7a94-e5f6-4f70-bf39-5bd7303874b4,Andres Metsoja,Andres Metsoja,andres.metsoja@riigikogu.ee,,100007912839911,Pro Patria,c52ce7c4-e725-407e-81c4-d903f6b61b93,23422b41-11c4-4ee0-bd65-4594b1beffd8,Electoral District 12 (Pärnumaa),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/2c5642e7-f923-45ef-aa5f-db72e44daa3b.jpg,male,Q20933540,Q163347,Q3038253
ca220e41-2833-436b-b94c-91273c29b73a,Anne Sulling,Anne Sulling,anne.sulling@riigikogu.ee,annesulling,anne.sulling,Estonian Reform Party,809ffcc5-c6cf-40f2-a985-2e859e3a0396,45a35b1d-9b7c-4a18-9364-3ba1000c1e50,Electoral District 10 (Tartu),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/a796a6c1-30a2-4270-9087-797a0d2a973c.jpg,female,Q15983657,Q738947,Q3032626
372fd0c0-3379-44be-83af-527e886b2c52,Anneli Ott,Anneli Ott,anneli.ott@riigikogu.ee,,anneli.viitkin,Estonian Centre Party,f6b76a72-7b02-433b-8ced-4f9b8d3f980c,05557089-8a7a-4382-b1e4-5ac4923c6ead,"Electoral District 11 (Võru-, Valga- and Põlvamaa)",13,2015-11-19,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/588a441c-eec4-494f-8292-1b1bac1f93e0.jpg,female,Q22041600,Q928652,Q3352911
87c7f7bc-60ac-4b21-8edc-b0adaebc2d13,Ants Laaneots,Ants Laaneots,ants.laaneots@riigikogu.ee,,,Estonian Reform Party,809ffcc5-c6cf-40f2-a985-2e859e3a0396,45a35b1d-9b7c-4a18-9364-3ba1000c1e50,Electoral District 10 (Tartu),13,2015-03-30,https://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/9919f729-84f3-4ab3-9211-b1c3a50cf36a.jpg,male,Q3736458,Q738947,Q3032626
